region,revenue,units,product
North,4492.94,42,SKU-0
South,5413.72,4,SKU-1
East,6135.5,24,SKU-2
West,5453.59,38,SKU-3
North,6134.3,3,SKU-4
South,5308.98,6,SKU-5
East,4382.44,6,SKU-6
West,4984.93,36,SKU-0
North,2800.72,8,SKU-1
South,5826.3,15,SKU-2
East,3718.08,4,SKU-3
West,3638.76,37,SKU-4
North,4471.24,15,SKU-5
South,4604.06,3,SKU-6
East,4198.67,27,SKU-0
West,4576.38,10,SKU-1
North,3289.72,36,SKU-2
South,4405.28,44,SKU-3
East,5467.93,41,SKU-4
West,6236.41,13,SKU-5
North,3748.67,5,SKU-6
South,5886.28,37,SKU-0
East,5558.49,44,SKU-1
West,5098.11,35,SKU-2
North,3863.88,38,SKU-3
South,5257.93,30,SKU-4
East,4214.99,12,SKU-5
West,5493.01,45,SKU-6
North,4892.41,20,SKU-0
South,4312.75,34,SKU-1
East,3699.66,29,SKU-2
West,4833.77,19,SKU-3
North,4437.53,33,SKU-4
South,4504.11,27,SKU-5
East,5359.17,32,SKU-6
West,5744.99,27,SKU-0
North,6528.72,49,SKU-1
South,5234.69,36,SKU-2
East,2603.9,21,SKU-3
West,3715.13,22,SKU-4
North,4256.76,38,SKU-5
South,3282.25,30,SKU-6
East,5283.11,18,SKU-0
West,5022.76,31,SKU-1
North,4656.29,47,SKU-2
South,4384.18,45,SKU-3
East,4223.39,44,SKU-4
West,6266.92,29,SKU-5
North,4544.48,43,SKU-6
South,5956.93,23,SKU-0
East,6122.14,11,SKU-1
West,4988.7,40,SKU-2
North,5110.12,50,SKU-3
South,5080.75,19,SKU-4
East,5422.38,26,SKU-5
West,5457.29,32,SKU-6
North,5946.12,36,SKU-0
South,5435.55,18,SKU-1
East,6450.04,36,SKU-2
West,3315.25,18,SKU-3
North,3847.61,44,SKU-4
South,1411.12,25,SKU-5
East,5462.36,12,SKU-6
West,4619.83,10,SKU-0
North,4898.96,32,SKU-1
South,5669.16,38,SKU-2
East,5202.78,10,SKU-3
West,5689.72,27,SKU-4
North,3192.39,21,SKU-5
South,4444.99,9,SKU-6
East,4272.37,40,SKU-0
West,3455.19,42,SKU-1
North,4621.18,50,SKU-2
South,4442.4,44,SKU-3
East,5154.9,26,SKU-4
West,3655.94,26,SKU-5
North,6154.43,4,SKU-6
South,5830.8,13,SKU-0
East,5548.77,11,SKU-1
West,5137.22,8,SKU-2
North,4588.56,1,SKU-3
South,5132.92,37,SKU-4
East,5122.7,24,SKU-5
West,5251.66,40,SKU-6
North,7212.76,40,SKU-0
South,5189.93,25,SKU-1
East,5344.54,23,SKU-2
West,5535.31,39,SKU-3
North,4396.12,32,SKU-4
South,5262.99,30,SKU-5
East,3770.36,10,SKU-6
West,4927.48,7,SKU-0
North,4795.96,31,SKU-1
South,2829.35,45,SKU-2
East,4937.02,34,SKU-3
West,5020.28,24,SKU-4
North,5708.66,2,SKU-5
South,5996.11,49,SKU-6
East,1526.3,6,SKU-0
West,4215.72,45,SKU-1
North,5618.73,11,SKU-2
South,3602.54,23,SKU-3
East,5003.36,50,SKU-4
West,3334.04,33,SKU-5
North,4390.86,49,SKU-6
South,5547.95,13,SKU-0
East,5564.87,48,SKU-1
West,2719.84,15,SKU-2
North,5232.76,47,SKU-3
South,6129.55,2,SKU-4
East,6915.91,31,SKU-5
West,4661.59,17,SKU-6
North,5367.22,23,SKU-0
South,6334.41,29,SKU-1
East,5491.82,23,SKU-2
West,3005.6,24,SKU-3
North,5287.27,31,SKU-4
South,5070.03,13,SKU-5
East,4078.4,40,SKU-6
West,5973.6,1,SKU-0
North,3068.62,42,SKU-1
South,5024.55,6,SKU-2
East,5107.58,25,SKU-3
West,4277.28,46,SKU-4
North,4801.21,12,SKU-5
South,3431.63,28,SKU-6
East,5062.65,47,SKU-0
West,3753.47,26,SKU-1
North,2873.65,6,SKU-2
South,5254.03,47,SKU-3
East,6851.77,2,SKU-4
West,7982.29,10,SKU-5
North,3669.86,42,SKU-6
South,4074.67,10,SKU-0
East,3565.6,31,SKU-1
West,3758.09,43,SKU-2
North,5445.44,36,SKU-3
South,4532.49,9,SKU-4
East,6931.39,47,SKU-5
West,5088.28,42,SKU-6
North,6394.66,9,SKU-0
South,6001.57,28,SKU-1
East,5587.13,14,SKU-2
West,4733.32,2,SKU-3
North,4788.48,16,SKU-4
South,5799.15,49,SKU-5
East,4003.9,27,SKU-6
West,4319.43,9,SKU-0
North,6626.99,30,SKU-1
South,5535.4,43,SKU-2
East,2548.8,27,SKU-3
West,3499.98,33,SKU-4
North,5269.02,33,SKU-5
South,5304.28,2,SKU-6
East,6248.5,39,SKU-0
West,3310.99,1,SKU-1
North,4911.35,10,SKU-2
South,4125.47,31,SKU-3
East,4354.69,4,SKU-4
West,4386.53,21,SKU-5
North,4191.13,31,SKU-6
South,3455.31,50,SKU-0
East,6008.89,16,SKU-1
West,5751.28,13,SKU-2
North,4452.55,33,SKU-3
South,6834.8,29,SKU-4
East,2923.27,5,SKU-5
West,4033.26,29,SKU-6
North,3321.95,39,SKU-0
South,7673.39,33,SKU-1
East,5102.23,33,SKU-2
West,5718.43,35,SKU-3
North,5303.86,16,SKU-4
South,3463.07,45,SKU-5
East,2374.21,17,SKU-6
West,4443.72,36,SKU-0
North,5430.97,29,SKU-1
South,4296.15,9,SKU-2
East,3762.77,21,SKU-3
West,5399.1,5,SKU-4
North,4196.71,14,SKU-5
South,3683.5,43,SKU-6
East,4600.39,50,SKU-0
West,5379.67,10,SKU-1
North,6400.41,24,SKU-2
South,4160.59,10,SKU-3
East,4787.27,30,SKU-4
West,5451.94,15,SKU-5
North,4788.88,32,SKU-6
South,4266.54,11,SKU-0
East,7063.66,11,SKU-1
West,4655.75,46,SKU-2
